Period,No. of Analysts,Avg. Estimate,Low Estimate,High Estimate,Year Ago EPS,symbol
Next_Quarter,18.0,2.23,2.14,2.31,2.1,HON
Current_Year,22.0,9.05,8.95,9.2,8.76,HON
Next_Year,21.0,10.01,9.65,10.43,9.05,HON
Current_Quarter,18.0,0.45,0.43,0.47,0.45,KO
Next_Quarter,15.0,0.63,0.6,0.67,0.64,KO
Current_Year,22.0,2.49,2.46,2.59,2.32,KO
Next_Year,24.0,2.56,2.46,2.66,2.49,KO
Current_Quarter,17.0,3.71,3.16,4.82,3.36,CVX
Next_Quarter,17.0,3.89,3.02,5.29,5.82,CVX
Current_Year,19.0,15.66,11.9,20.8,18.83,CVX
Next_Year,17.0,15.56,11.75,21.59,15.66,CVX
Current_Quarter,21.0,2.68,2.16,3.14,2.73,AXP
Next_Quarter,21.0,2.79,2.52,3.07,2.57,AXP
Current_Year,25.0,11.16,10.03,11.41,9.85,AXP
Next_Year,24.0,12.64,10.32,13.19,11.16,AXP
Current_Quarter,16.0,1.59,1.45,1.7,2.65,MMM
Next_Quarter,16.0,2.15,1.97,2.39,2.48,MMM
Current_Year,19.0,8.65,8.25,9.0,10.1,MMM
Next_Year,19.0,9.5,8.2,10.2,8.65,MMM
