symbol,name,period,eps_est,eps_actual,difference,surprise,mse
AAPL,Apple Inc,ThirdToLast_Quarter,1.43,1.52,0.09,6.30%,0.003
AAPL,Apple Inc,SecondToLast_Quarter,1.16,1.2,0.04,3.40%,0.003
AAPL,Apple Inc,NextToLast_Quarter,1.27,1.29,0.02,1.60%,0.003
AAPL,Apple Inc,Last_Quarter,1.94,1.88,-0.06,-3.10%,0.003
GS,Goldman Sachs Group Inc,ThirdToLast_Quarter,8.89,10.76,1.87,21.00%,2.45
GS,Goldman Sachs Group Inc,SecondToLast_Quarter,6.58,7.73,1.15,17.50%,2.45
GS,Goldman Sachs Group Inc,NextToLast_Quarter,7.69,8.25,0.56,7.30%,2.45
GS,Goldman Sachs Group Inc,Last_Quarter,5.48,3.32,-2.16,-39.40%,2.45
CSCO,Cisco Systems Inc,ThirdToLast_Quarter,0.81,0.84,0.03,3.70%,0.0
CSCO,Cisco Systems Inc,SecondToLast_Quarter,0.86,0.87,0.01,1.20%,0.0
CSCO,Cisco Systems Inc,NextToLast_Quarter,0.82,0.83,0.01,1.20%,0.0
CSCO,Cisco Systems Inc,Last_Quarter,0.84,0.86,0.02,2.40%,0.0
MSFT,Microsoft Corp,ThirdToLast_Quarter,2.18,2.22,0.04,1.80%,0.002
MSFT,Microsoft Corp,SecondToLast_Quarter,2.29,2.23,-0.06,-2.60%,0.002
MSFT,Microsoft Corp,NextToLast_Quarter,2.3,2.35,0.05,2.20%,0.002
MSFT,Microsoft Corp,Last_Quarter,2.29,2.32,0.03,1.30%,0.002
HD,Home Depot Inc,ThirdToLast_Quarter,3.18,3.21,0.03,0.90%,0.049
HD,Home Depot Inc,SecondToLast_Quarter,3.68,4.09,0.41,11.10%,0.049
HD,Home Depot Inc,NextToLast_Quarter,4.94,5.05,0.11,2.20%,0.049
HD,Home Depot Inc,Last_Quarter,4.12,4.24,0.12,2.90%,0.049
PG,Procter & Gamble Co,ThirdToLast_Quarter,1.29,1.33,0.04,3.10%,0.001
PG,Procter & Gamble Co,SecondToLast_Quarter,1.22,1.21,-0.01,-0.80%,0.001
PG,Procter & Gamble Co,NextToLast_Quarter,1.54,1.57,0.03,1.90%,0.001
PG,Procter & Gamble Co,Last_Quarter,1.59,1.59,0.0,0.00%,0.001
MRK,Merck & Co Inc,ThirdToLast_Quarter,1.83,2.14,0.31,16.90%,0.038
MRK,Merck & Co Inc,SecondToLast_Quarter,1.7,1.87,0.17,10.00%,0.038
MRK,Merck & Co Inc,NextToLast_Quarter,1.71,1.85,0.14,8.20%,0.038
MRK,Merck & Co Inc,Last_Quarter,1.54,1.62,0.08,5.20%,0.038
IBM,International Business Machines Corp,ThirdToLast_Quarter,1.38,1.4,0.02,1.40%,0.001
IBM,International Business Machines Corp,SecondToLast_Quarter,2.27,2.31,0.04,1.80%,0.001
IBM,International Business Machines Corp,NextToLast_Quarter,1.77,1.81,0.04,2.30%,0.001
IBM,International Business Machines Corp,Last_Quarter,3.6,3.6,0.0,0.00%,0.001
HON,Honeywell International Inc,ThirdToLast_Quarter,1.86,1.91,0.05,2.70%,0.004
HON,Honeywell International Inc,SecondToLast_Quarter,2.03,2.1,0.07,3.40%,0.004
HON,Honeywell International Inc,NextToLast_Quarter,2.16,2.25,0.09,4.20%,0.004
HON,Honeywell International Inc,Last_Quarter,2.51,2.52,0.01,0.40%,0.004
KO,Coca-Cola Co,ThirdToLast_Quarter,0.41,0.45,0.04,9.80%,0.002
KO,Coca-Cola Co,SecondToLast_Quarter,0.58,0.64,0.06,10.30%,0.002
KO,Coca-Cola Co,NextToLast_Quarter,0.67,0.7,0.03,4.50%,0.002
KO,Coca-Cola Co,Last_Quarter,0.64,0.69,0.05,7.80%,0.002
CVX,Chevron Corp,ThirdToLast_Quarter,3.27,3.36,0.09,2.80%,0.293
CVX,Chevron Corp,SecondToLast_Quarter,5.1,5.82,0.72,14.10%,0.293
CVX,Chevron Corp,NextToLast_Quarter,4.81,5.56,0.75,15.60%,0.293
CVX,Chevron Corp,Last_Quarter,4.38,4.09,-0.29,-6.60%,0.293
AXP,American Express Co,ThirdToLast_Quarter,2.44,2.73,0.29,11.90%,0.034
AXP,American Express Co,SecondToLast_Quarter,2.41,2.57,0.16,6.60%,0.034
AXP,American Express Co,NextToLast_Quarter,2.41,2.47,0.06,2.50%,0.034
AXP,American Express Co,Last_Quarter,2.22,2.07,-0.15,-6.80%,0.034
MMM,3M Co,ThirdToLast_Quarter,2.31,2.65,0.34,14.70%,0.033
MMM,3M Co,SecondToLast_Quarter,2.42,2.48,0.06,2.50%,0.033
MMM,3M Co,NextToLast_Quarter,2.6,2.69,0.09,3.50%,0.033
MMM,3M Co,Last_Quarter,2.36,2.28,-0.08,-3.40%,0.033
