symbol,name,period,no_of_analysts,avg_estimate,low_estimate,high_estimate,year_ago_eps,current_next,quarter_year
DOW,Dow Inc,Next_Quarter,19.0,0.79,0.55,0.98,2.31,Next,Quarter
DOW,Dow Inc,Current_Year,22.0,3.25,2.3,3.9,6.25,Current,Year
DOW,Dow Inc,Next_Year,21.0,4.81,3.9,5.65,3.25,Next,Year
AAPL,Apple Inc,Current_Quarter,25.0,1.43,1.37,1.56,1.52,Current,Quarter
AAPL,Apple Inc,Next_Quarter,25.0,1.24,1.02,1.35,1.2,Next,Quarter
AAPL,Apple Inc,Current_Year,34.0,5.98,5.38,6.6,6.11,Current,Year
AAPL,Apple Inc,Next_Year,32.0,6.59,5.62,7.16,5.98,Next,Year
GS,Goldman Sachs Group Inc,Current_Quarter,18.0,8.73,6.35,10.55,10.76,Current,Quarter
GS,Goldman Sachs Group Inc,Next_Quarter,17.0,7.92,5.34,9.26,7.73,Next,Quarter
GS,Goldman Sachs Group Inc,Current_Year,23.0,34.14,27.01,40.35,30.06,Current,Year
GS,Goldman Sachs Group Inc,Next_Year,23.0,40.41,32.26,45.25,34.14,Next,Year
CSCO,Cisco Systems Inc,Current_Quarter,21.0,0.85,0.85,0.87,0.84,Current,Quarter
CSCO,Cisco Systems Inc,Next_Quarter,21.0,0.89,0.86,0.92,0.87,Next,Quarter
CSCO,Cisco Systems Inc,Current_Year,25.0,3.55,3.51,3.6,3.36,Current,Year
CSCO,Cisco Systems Inc,Next_Year,25.0,3.83,3.71,4.14,3.55,Next,Year
MSFT,Microsoft Corp,Current_Quarter,36.0,2.25,2.15,2.91,2.22,Current,Quarter
MSFT,Microsoft Corp,Next_Quarter,36.0,2.48,2.14,3.11,2.23,Next,Quarter
MSFT,Microsoft Corp,Current_Year,21.0,9.36,9.02,9.72,9.21,Current,Year
MSFT,Microsoft Corp,Next_Year,43.0,10.73,9.66,11.75,9.36,Next,Year
HD,Home Depot Inc,Current_Quarter,27.0,3.27,3.06,3.39,3.21,Current,Quarter
HD,Home Depot Inc,Next_Quarter,21.0,4.11,3.79,4.34,4.09,Next,Quarter
HD,Home Depot Inc,Current_Year,36.0,16.65,16.29,16.77,15.53,Current,Year
HD,Home Depot Inc,Next_Year,36.0,16.82,15.1,17.6,16.65,Next,Year
PG,Procter & Gamble Co,Current_Quarter,17.0,1.33,1.28,1.4,1.33,Current,Quarter
PG,Procter & Gamble Co,Next_Quarter,17.0,1.35,1.3,1.4,1.21,Next,Quarter
PG,Procter & Gamble Co,Current_Year,23.0,5.84,5.8,5.88,5.81,Current,Year
PG,Procter & Gamble Co,Next_Year,23.0,6.33,6.1,6.72,5.84,Next,Year
MRK,Merck & Co Inc,Current_Quarter,12.0,1.29,0.94,1.54,2.14,Current,Quarter
MRK,Merck & Co Inc,Next_Quarter,12.0,1.79,1.64,1.88,1.87,Next,Quarter
MRK,Merck & Co Inc,Current_Year,13.0,6.88,6.73,7.11,7.48,Current,Year
MRK,Merck & Co Inc,Next_Year,13.0,8.58,7.46,9.09,6.88,Next,Year
IBM,International Business Machines Corp,Current_Quarter,12.0,1.27,1.15,1.54,1.4,Current,Quarter
IBM,International Business Machines Corp,Next_Quarter,12.0,2.09,1.94,2.3,2.31,Next,Quarter
IBM,International Business Machines Corp,Current_Year,17.0,9.49,8.39,9.77,9.13,Current,Year
IBM,International Business Machines Corp,Next_Year,16.0,10.11,8.99,10.62,9.49,Next,Year
HON,Honeywell International Inc,Current_Quarter,18.0,1.92,1.87,1.95,1.91,Current,Quarter
HON,Honeywell International Inc,Next_Quarter,18.0,2.23,2.14,2.31,2.1,Next,Quarter
HON,Honeywell International Inc,Current_Year,22.0,9.05,8.95,9.2,8.76,Current,Year
HON,Honeywell International Inc,Next_Year,21.0,10.01,9.65,10.43,9.05,Next,Year
KO,Coca-Cola Co,Current_Quarter,18.0,0.45,0.43,0.47,0.45,Current,Quarter
KO,Coca-Cola Co,Next_Quarter,15.0,0.63,0.6,0.67,0.64,Next,Quarter
KO,Coca-Cola Co,Current_Year,22.0,2.49,2.46,2.59,2.32,Current,Year
KO,Coca-Cola Co,Next_Year,24.0,2.56,2.46,2.66,2.49,Next,Year
CVX,Chevron Corp,Current_Quarter,17.0,3.71,3.16,4.82,3.36,Current,Quarter
CVX,Chevron Corp,Next_Quarter,17.0,3.89,3.02,5.29,5.82,Next,Quarter
CVX,Chevron Corp,Current_Year,19.0,15.66,11.9,20.8,18.83,Current,Year
CVX,Chevron Corp,Next_Year,17.0,15.56,11.75,21.59,15.66,Next,Year
AXP,American Express Co,Current_Quarter,21.0,2.68,2.16,3.14,2.73,Current,Quarter
AXP,American Express Co,Next_Quarter,21.0,2.79,2.52,3.07,2.57,Next,Quarter
AXP,American Express Co,Current_Year,25.0,11.16,10.03,11.41,9.85,Current,Year
AXP,American Express Co,Next_Year,24.0,12.64,10.32,13.19,11.16,Next,Year
MMM,3M Co,Current_Quarter,16.0,1.59,1.45,1.7,2.65,Current,Quarter
MMM,3M Co,Next_Quarter,16.0,2.15,1.97,2.39,2.48,Next,Quarter
MMM,3M Co,Current_Year,19.0,8.65,8.25,9.0,10.1,Current,Year
MMM,3M Co,Next_Year,19.0,9.5,8.2,10.2,8.65,Next,Year
