name,variable,value
International Business Machines Corp,Full time employees,282100
Honeywell International Inc,Full time employees,99000
Coca-Cola Co,Full time employees,79000
Chevron Corp,Full time employees,42595
American Express Co,Full time employees,64000
3M Co,Full time employees,95000
Salesforce.Com Inc,Website,https://www.salesforce.com
Walgreens Boots Alliance Inc,Website,https://www.walgreensbootsalliance.com
Visa Inc,Website,https://usa.visa.com
Nike Inc,Website,https://investors.nike.com
UnitedHealth Group Inc,Website,https://www.unitedhealthgroup.com
Travelers Companies Inc,Website,https://www.travelers.com
Verizon Communications Inc,Website,https://www.verizon.com
Intel Corp,Website,https://www.intel.com
Walmart Inc,Website,https://www.stock.walmart.com
Johnson & Johnson,Website,https://www.jnj.com
Walt Disney Co,Website,https://www.thewaltdisneycompany.com
Mcdonald's Corp,Website,https://corporate.mcdonalds.com
JPMorgan Chase & Co,Website,https://www.jpmorganchase.com
Caterpillar Inc,Website,https://www.caterpillar.com
Boeing Co,Website,https://www.boeing.com
Amgen Inc,Website,https://www.amgen.com
Dow Inc,Website,https://www.dow.com
Apple Inc,Website,https://www.apple.com
Goldman Sachs Group Inc,Website,https://www.goldmansachs.com
Cisco Systems Inc,Website,https://www.cisco.com
Microsoft Corp,Website,https://www.microsoft.com
Home Depot Inc,Website,https://www.homedepot.com
Procter & Gamble Co,Website,https://www.pginvestor.com
Merck & Co Inc,Website,https://www.merck.com
International Business Machines Corp,Website,https://www.ibm.com
Honeywell International Inc,Website,https://www.honeywell.com
Coca-Cola Co,Website,https://www.coca-colacompany.com
Chevron Corp,Website,https://www.chevron.com
American Express Co,Website,https://www.americanexpress.com
3M Co,Website,https://www.3m.com
