symbol,name,date,adjclose,daten,rsi
MRK,Merck & Co Inc,2022-06-14,83.2725143,2022-06-14,32.832156913965804
MRK,Merck & Co Inc,2022-06-15,83.4006195,2022-06-15,33.584298507119584
MRK,Merck & Co Inc,2022-06-16,83.6568451,2022-06-16,35.148521018041244
MRK,Merck & Co Inc,2022-06-17,83.39077,2022-06-17,34.24651274494456
MRK,Merck & Co Inc,2022-06-21,86.7512283,2022-06-21,51.25926272214882
MRK,Merck & Co Inc,2022-06-22,87.8648224,2022-06-22,55.379335230558006
MRK,Merck & Co Inc,2022-06-23,90.663559,2022-06-23,63.68724472930074
MRK,Merck & Co Inc,2022-06-24,91.7771454,2022-06-24,66.3702752211606
MRK,Merck & Co Inc,2022-06-27,93.038559,2022-06-27,69.15081066615326
MRK,Merck & Co Inc,2022-06-28,90.5551605,2022-06-28,58.83679637264715
MRK,Merck & Co Inc,2022-06-29,91.166153,2022-06-29,60.401677627278545
MRK,Merck & Co Inc,2022-06-30,89.8456192,2022-06-30,55.49150199430483
MRK,Merck & Co Inc,2022-07-01,91.0774612,2022-07-01,58.851880420978894
MRK,Merck & Co Inc,2022-07-05,91.2942657,2022-07-05,59.43240746042981
MRK,Merck & Co Inc,2022-07-06,91.7771454,2022-07-06,60.76027204165473
MRK,Merck & Co Inc,2022-07-07,91.6588974,2022-07-07,60.24027480605641
MRK,Merck & Co Inc,2022-07-08,91.4322281,2022-07-08,59.19448085835208
MRK,Merck & Co Inc,2022-07-11,92.9301529,2022-07-11,63.681602549702745
MRK,Merck & Co Inc,2022-07-12,92.2403183,2022-07-12,60.38822981871259
MRK,Merck & Co Inc,2022-07-13,92.4078445,2022-07-13,60.916844198122
MRK,Merck & Co Inc,2022-07-14,92.5162506,2022-07-14,61.27695807313025
MRK,Merck & Co Inc,2022-07-15,93.5805664,2022-07-15,64.71449982004219
MRK,Merck & Co Inc,2022-07-18,90.9986191,2022-07-18,52.53137187659783
MRK,Merck & Co Inc,2022-07-19,91.0183334,2022-07-19,52.60474056947813
MRK,Merck & Co Inc,2022-07-20,88.347702,2022-07-20,42.92558269141377
MRK,Merck & Co Inc,2022-07-21,88.8305817,2022-07-21,44.89971482589874
MRK,Merck & Co Inc,2022-07-22,88.8010178,2022-07-22,44.79755116064653
MRK,Merck & Co Inc,2022-07-25,89.2149124,2022-07-25,46.628495113699074
MRK,Merck & Co Inc,2022-07-26,89.9638824,2022-07-26,49.8687879229805
MRK,Merck & Co Inc,2022-07-27,89.9047546,2022-07-27,49.61270554092604
MRK,Merck & Co Inc,2022-07-28,88.6334839,2022-07-28,44.34060695735772
MRK,Merck & Co Inc,2022-07-29,88.0421982,2022-07-29,42.09974992509545
MRK,Merck & Co Inc,2022-08-01,87.2439728,2022-08-01,39.21828112487508
MRK,Merck & Co Inc,2022-08-02,86.3373413,2022-08-02,36.188605080888806
